id,name,movie_id,cover_url,created_at,updated_at
130,The Prince of Egypt,,http://cdn7.nflximg.net/images/0877/2830877.jpg,2014-10-22 16:08:03.177854,2014-10-22 16:08:03.177854
131,The Faculty,,http://cdn6.nflximg.net/images/8366/1288366.jpg,2014-10-22 16:08:03.470233,2014-10-22 16:08:03.470233
132,Tactical Assault,,http://cdn6.nflximg.net/images/6556/3136556.jpg,2014-10-22 16:08:03.633798,2014-10-22 16:08:03.633798
133,She's All That,,http://cdn0.nflximg.net/images/2670/3232670.jpg,2014-10-22 16:08:03.789155,2014-10-22 16:08:03.789155
134,From Dusk Till Dawn 2: Texas Blood Money,,http://cdn4.nflximg.net/images/3474/2193474.jpg,2014-10-22 16:08:04.17511,2014-10-22 16:08:04.17511
135,Bloodsport 4,,http://cdn8.nflximg.net/images/7638/2357638.jpg,2014-10-22 16:08:04.407281,2014-10-22 16:08:04.407281
136,October Sky,,http://cdn3.nflximg.net/images/9433/2509433.jpg,2014-10-22 16:08:04.696366,2014-10-22 16:08:04.696366
137,eXistenZ,,http://cdn3.nflximg.net/images/0803/2340803.jpg,2014-10-22 16:08:05.350362,2014-10-22 16:08:05.350362
138,"Babar, King of the Elephants",,http://cdn3.nflximg.net/images/1313/871313.jpg,2014-10-22 16:08:05.686924,2014-10-22 16:08:05.686924
139,The Boxer,,http://cdn6.nflximg.net/images/5876/2515876.jpg,2014-10-22 16:08:05.99943,2014-10-22 16:08:05.99943
140,Money Kings,,http://cdn1.nflximg.net/images/1631/3721631.jpg,2014-10-22 16:08:06.285825,2014-10-22 16:08:06.285825
141,The Greatest Places: IMAX,,http://cdn3.nflximg.net/images/2043/852043.jpg,2014-10-22 16:08:06.570986,2014-10-22 16:08:06.570986
142,Search for the Great Sharks: IMAX,,http://cdn4.nflximg.net/images/2044/852044.jpg,2014-10-22 16:08:06.810386,2014-10-22 16:08:06.810386
143,Lamhe,,http://cdn4.nflximg.net/images/9264/3209264.jpg,2014-10-22 16:08:07.238584,2014-10-22 16:08:07.238584
144,Small Soldiers,,http://cdn1.nflximg.net/images/2441/1582441.jpg,2014-10-22 16:08:07.605805,2014-10-22 16:08:07.605805
145,The Peacemaker,,http://cdn5.nflximg.net/images/1025/2141025.jpg,2014-10-22 16:08:07.985419,2014-10-22 16:08:07.985419
146,Chandni,,http://cdn9.nflximg.net/images/9979/3209979.jpg,2014-10-22 16:08:08.354404,2014-10-22 16:08:08.354404
